id,place_a_id,place_b_id,true_distance_km
AU--SE,AU,SE,15597.07886628645
AU--SG,AU,SG,6204.591664762586
AU--SN,AU,SN,17367.8662451382
AU--TH,AU,TH,7462.848367041455
AU--TN,AU,TN,16350.29377534376
AU--TO,AU,TO,3807.6328218107633
AU--TR,AU,TR,14491.126052008547
AU--TZ,AU,TZ,11694.349880853746
AU--UA,AU,UA,14887.737081531282
AU--UG,AU,UG,12418.786352772115
AU--US,AU,US,15945.723803950415
AU--UY,AU,UY,11808.861444947597
AU--UZ,AU,UZ,11752.921013730906
AU--VN,AU,VN,7727.631084944442
AU--VU,AU,VU,2717.060032653611
AU--WS,AU,WS,4576.563833367762
AU--ZA,AU,ZA,10839.833274898414
AU--ZM,AU,ZM,11633.75337412122
AU--ZW,AU,ZW,11237.09816369107
BD--BE,BD,BE,7731.868586575987
BD--BF,BD,BF,9663.079471664661
BD--BH,BD,BH,4014.9198248245402
BD--BO,BD,BO,17458.951170585602
BD--BR,BD,BR,15592.505750516311
BD--BW,BD,BW,8777.096173970342
BD--CA,BD,CA,12219.959997048985
BD--CD,BD,CD,8699.546891941973
BD--CH,BD,CH,7600.778750865897
BD--CI,BD,CI,10288.402882283262
BD--CL,BD,CL,17886.203807894904
BD--CM,BD,CM,8712.44984923059
BD--CN,BD,CN,3026.7986717227063
BD--CO,BD,CO,16454.083310734804
BD--CR,BD,CR,16233.07363753065
BD--CU,BD,CU,14761.83388619922
BD--CZ,BD,CZ,7035.545636925333
BD--DE,BD,DE,7083.361209694893
BD--DJ,BD,DJ,5165.583561328696
BD--DK,BD,DK,7108.218444960303
BD--DZ,BD,DZ,8249.865357774017
BD--EC,BD,EC,17145.365199045387
BD--EG,BD,EG,5856.065710330734
BD--ES,BD,ES,8668.474277763522
BD--ET,BD,ET,5724.1496250866285
BD--FI,BD,FI,6394.878508271938
BD--FJ,BD,FJ,10616.636231096905
BD--FR,BD,FR,7923.795839306774
BD--GB,BD,GB,8015.217428089591
BD--GH,BD,GH,9833.431322059829
BD--GR,BD,GR,6434.574552380038
BD--GT,BD,GT,15760.611850172598
BD--HU,BD,HU,6721.140358053836
BD--IE,BD,IE,8350.315861302937
BD--IN,BD,IN,1425.4260591415405
BD--IQ,BD,IQ,4589.887812687067
BD--IR,BD,IR,3968.0941627326647
BD--IS,BD,IS,8672.229473964459
BD--IT,BD,IT,7320.0470436892765
BD--JO,BD,JO,5387.961598701306
BD--JP,BD,JP,4901.783530903048
BD--KE,BD,KE,6417.460535353122
BD--KH,BD,KH,2042.729941560404
BD--KR,BD,KR,3797.612686267932
BD--KW,BD,KW,4251.197646391472
BD--LA,BD,LA,1419.2283144649443
BD--LB,BD,LB,5412.9727276481635
BD--MA,BD,MA,9196.660288262383
BD--MG,BD,MG,6628.508180230895
BD--MN,BD,MN,3056.3212896300965
BD--MR,BD,MR,10793.20276654314
BD--MX,BD,MX,15118.666153073525
BD--MY,BD,MY,2578.596726870454
BD--MZ,BD,MZ,8304.401239123861
BD--NA,BD,NA,9439.496042437622
BD--NG,BD,NG,8893.098615055616
BD--NL,BD,NL,7656.49679159308
BD--NO,BD,NO,7181.762061567684
BD--NP,BD,NP,675.7528161493473
BD--NZ,BD,NZ,11267.899459200993
BD--OM,BD,OM,3238.4128398914418
BD--PA,BD,PA,16227.84013054298
BD--PE,BD,PE,18167.538095071344
BD--PG,BD,PG,7183.243281654223
BD--PH,BD,PH,3362.196759695326
BD--PK,BD,PK,2010.504192418624
BD--PL,BD,PL,6568.012073729416
BD--PT,BD,PT,9173.202508931836
BD--QA,BD,QA,3929.9559271229564
BD--RO,BD,RO,6191.008379105033
BD--RS,BD,RS,6635.510050062666
BD--RU,BD,RU,5553.2737926347245
BD--RW,BD,RW,7114.216323686234
BD--SA,BD,SA,4415.912406616781
BD--SB,BD,SB,8400.160302782504
BD--SE,BD,SE,6768.471024295255
BD--SG,BD,SG,2874.5622395689315
BD--SN,BD,SN,11109.021139047307
BD--TH,BD,TH,1533.2161452123528
BD--TN,BD,TN,7637.482766316187
BD--TO,BD,TO,11357.457932883142
BD--TR,BD,TR,5633.079801631459
BD--TZ,BD,TZ,6793.0341997186615
BD--UA,BD,UA,5893.685382507589
BD--UG,BD,UG,6749.444916698336
BD--US,BD,US,12949.493713794654
BD--UY,BD,UY,16571.76898217963
BD--UZ,BD,UZ,2767.309789944438
BD--VN,BD,VN,1616.977559772685
BD--VU,BD,VU,9622.603656215046
BD--WS,BD,WS,11410.433528599424
BD--ZA,BD,ZA,8645.990655579606
BD--ZM,BD,ZM,8023.36365801334
BD--ZW,BD,ZW,7918.155210212984
BE--BF,BE,BF,4298.603875854842
BE--BH,BE,BH,4757.138838699851
BE--BO,BE,BO,10277.319409208942
BE--BR,BE,BR,8957.314989872522
BE--BW,BE,BW,8625.944811897602
BE--CA,BE,CA,5690.557438329869
BE--CD,BE,CD,6202.005898544328
BE--CH,BE,CH,492.6390791758399
BE--CI,BE,CI,4960.438755638164
BE--CL,BE,CL,11867.727334187019
BE--CM,BE,CM,5249.245141828486
BE--CN,BE,CN,7981.866825996097
BE--CO,BE,CO,8800.23334571362
BE--CR,BE,CR,9048.549659827606
BE--CU,BE,CU,7823.081293470346
BE--CZ,BE,CZ,723.7479868910689
BE--DE,BE,DE,654.2432279686858
BE--DJ,BE,DJ,5595.716852208025
BE--DK,BE,DK,768.7439010997178
BE--DZ,BE,DZ,1566.6662108868215
BE--EC,BE,EC,9522.853951267027
BE--EG,BE,EG,3211.9717903533165
BE--ES,BE,ES,1315.596454233931
BE--ET,BE,ET,5603.418465376374
BE--FI,BE,FI,1654.130979625959
BE--FJ,BE,FJ,16338.868734843943
BE--FR,BE,FR,261.76794515586585
BE--GB,BE,GB,319.9080946549366
BE--GH,BE,GH,5037.691979387918
BE--GR,BE,GR,2091.9969504647274
BE--GT,BE,GT,9097.448320110629
BE--HU,BE,HU,1135.3920932099727
BE--IE,BE,IE,775.9648932516885
BE--IN,BE,IN,6426.974099842887
BE--IQ,BE,IQ,3776.3732742522907
BE--IR,BE,IR,4092.8101316811853
BE--IS,BE,IS,2134.961511615991
BE--IT,BE,IT,1173.2365012235457
BE--JO,BE,JO,3330.4857433473035
BE--JP,BE,JP,9476.221662775797
BE--KE,BE,KE,6543.9347880429905
BE--KH,BE,KH,9752.045280789587
BE--KR,BE,KR,8730.563569365251
BE--KW,BE,KW,4328.048071264474
BE--LA,BE,LA,9042.973501196231
BE--LB,BE,LB,3146.9626699032938
BE--MA,BE,MA,2075.7465027764333
BE--MG,BE,MG,8803.579336545832
BE--MN,BE,MN,6814.871806440438
BE--MR,BE,MR,4054.1817267500614
BE--MX,BE,MX,9258.834302317056
BE--MY,BE,MY,10254.209183657
BE--MZ,BE,MZ,8948.038994422886
BE--NA,BE,NA,8226.771635453277
BE--NG,BE,NG,4638.436089918479
BE--NL,BE,NL,173.51476561305708
